player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Salis Abdul Samed,MF,Ghana,22,2000,2.8,169.0,15.0,64.0,82.0,24.0,0.0,169.0,3.0,4.0,75.0,4.0,2.0,121.0,2.0
Salman Al-Faraj,MF,Saudi Arabia,33,1989,0.5,19.0,0.0,1.0,11.0,7.0,0.0,19.0,0.0,0.0,,1.0,2.0,13.0,1.0
Sam Adekugbe,DF,Canada,27,1995,1.1,77.0,2.0,9.0,48.0,20.0,0.0,77.0,1.0,1.0,100.0,1.0,0.0,59.0,2.0
Saman Ghoddos,MF,IR Iran,29,1993,0.5,24.0,0.0,2.0,7.0,15.0,1.0,24.0,0.0,0.0,,2.0,1.0,19.0,6.0
Sami Al-Najei,MF,Saudi Arabia,25,1997,0.5,25.0,0.0,3.0,5.0,18.0,1.0,25.0,0.0,0.0,,1.0,1.0,15.0,2.0
Samuel Oum Gouet,MF,Cameroon,25,1997,1.1,65.0,4.0,23.0,38.0,5.0,0.0,65.0,0.0,0.0,,1.0,0.0,40.0,0.0
Sardar Azmoun,FW,IR Iran,27,1995,1.4,40.0,1.0,5.0,17.0,18.0,8.0,40.0,0.0,1.0,0.0,0.0,0.0,29.0,3.0
Saud Abdulhamid,DF,Saudi Arabia,23,1999,3.0,150.0,11.0,37.0,61.0,54.0,5.0,150.0,2.0,4.0,50.0,4.0,1.0,74.0,10.0
Saša Lukić,MF,Serbia,26,1996,2.7,182.0,6.0,30.0,132.0,21.0,1.0,182.0,0.0,1.0,0.0,2.0,2.0,130.0,3.0
Sebastian Szymański,MF,Poland,23,1999,1.5,61.0,3.0,18.0,28.0,16.0,3.0,61.0,1.0,3.0,33.3,5.0,2.0,35.0,6.0
Sebastián Coates,DF,Uruguay,32,1990,2.0,107.0,8.0,50.0,53.0,4.0,3.0,107.0,0.0,0.0,,0.0,2.0,66.0,1.0
Selim Amallah,MF,Morocco,26,1996,4.5,145.0,5.0,30.0,87.0,29.0,5.0,145.0,1.0,7.0,14.3,15.0,5.0,80.0,8.0
Serge Gnabry,FW,Germany,27,1995,2.9,148.0,1.0,9.0,42.0,98.0,21.0,148.0,3.0,5.0,60.0,4.0,7.0,111.0,16.0
Sergej Milinković-Savić,MF,Serbia,27,1995,2.6,158.0,8.0,33.0,88.0,41.0,4.0,158.0,3.0,6.0,50.0,7.0,2.0,106.0,7.0
Sergio Busquets,MF,Spain,34,1988,4.0,309.0,6.0,46.0,209.0,54.0,1.0,309.0,1.0,1.0,100.0,2.0,2.0,237.0,13.0
Sergio Rochet,GK,Uruguay,29,1993,3.0,88.0,78.0,87.0,1.0,0.0,0.0,88.0,0.0,0.0,,1.0,0.0,35.0,0.0
Sergiño Dest,DF,United States,22,2000,3.4,250.0,10.0,58.0,115.0,80.0,6.0,250.0,5.0,13.0,38.5,9.0,8.0,178.0,3.0
Shaquell Moore,DF,United States,26,1996,0.2,27.0,4.0,12.0,7.0,8.0,2.0,27.0,0.0,0.0,,0.0,0.0,16.0,1.0
Shogo Taniguchi,DF,Japan,31,1991,2.3,105.0,16.0,49.0,51.0,6.0,3.0,105.0,0.0,0.0,,0.0,0.0,62.0,0.0
Shūichi Gonda,GK,Japan,33,1989,4.3,124.0,106.0,124.0,0.0,0.0,0.0,124.0,0.0,0.0,,0.0,0.0,49.0,0.0
Silvan Widmer,DF,Switzerland,29,1993,2.9,208.0,13.0,67.0,95.0,47.0,6.0,208.0,1.0,2.0,50.0,5.0,6.0,126.0,8.0
Simon Kjær,DF,Denmark,33,1989,0.7,68.0,4.0,28.0,39.0,1.0,0.0,68.0,0.0,0.0,,1.0,0.0,45.0,0.0
Sofiane Boufal,FW,Morocco,29,1993,5.3,199.0,3.0,31.0,95.0,77.0,11.0,199.0,14.0,27.0,51.9,14.0,5.0,144.0,14.0
Sofyan Amrabat,MF,Morocco,26,1996,7.3,383.0,23.0,143.0,225.0,18.0,0.0,383.0,0.0,5.0,0.0,9.0,3.0,240.0,0.0
Son Heung-min,FW,Korea Republic,30,1992,4.0,158.0,2.0,19.0,43.0,98.0,19.0,158.0,3.0,15.0,20.0,8.0,6.0,107.0,25.0
Son Jun-ho,MF,Korea Republic,30,1992,0.8,68.0,2.0,17.0,49.0,2.0,0.0,68.0,0.0,0.0,,0.0,0.0,46.0,2.0
Sorba Thomas,MF,Wales,23,1999,0.0,6.0,0.0,1.0,2.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0
Srđan Babić,DF,Serbia,26,1996,0.1,16.0,1.0,8.0,8.0,1.0,0.0,16.0,0.0,0.0,,0.0,0.0,11.0,0.0
Stefan Mitrović,DF,Serbia,32,1990,0.4,22.0,1.0,8.0,13.0,1.0,0.0,22.0,0.0,0.0,,0.0,0.0,19.0,0.0
Stephen Eustáquio,MF,Canada,25,1996,1.4,109.0,8.0,17.0,69.0,23.0,1.0,109.0,1.0,1.0,100.0,0.0,2.0,76.0,2.0
Steve Mandanda,GK,France,37,1985,1.0,32.0,28.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,9.0,0.0
Steven Berghuis,MF,Netherlands,30,1991,2.2,141.0,0.0,10.0,84.0,49.0,2.0,141.0,1.0,4.0,25.0,1.0,1.0,109.0,11.0
Steven Bergwijn,FW,Netherlands,25,1997,2.4,85.0,0.0,5.0,45.0,36.0,4.0,85.0,1.0,4.0,25.0,4.0,2.0,74.0,22.0
Steven Vitória,DF,Canada,35,1987,3.0,203.0,14.0,85.0,117.0,1.0,0.0,203.0,0.0,1.0,0.0,1.0,1.0,142.0,0.0
Strahinja Pavlović,DF,Serbia,21,2001,2.6,186.0,14.0,71.0,101.0,17.0,3.0,186.0,2.0,3.0,66.7,4.0,3.0,120.0,3.0
Sultan Al-Ghanam,DF,Saudi Arabia,28,1994,1.4,68.0,5.0,19.0,25.0,26.0,3.0,68.0,0.0,2.0,0.0,4.0,1.0,36.0,2.0
Taha Yassine Khenissi,FW,Tunisia,30,1992,0.3,8.0,1.0,1.0,3.0,4.0,2.0,8.0,0.0,0.0,,1.0,2.0,3.0,0.0
Tajon Buchanan,MF,Canada,23,1999,2.9,131.0,3.0,20.0,42.0,72.0,8.0,131.0,7.0,25.0,28.0,8.0,7.0,95.0,17.0
Takefusa Kubo,FW,Japan,21,2001,1.0,23.0,1.0,4.0,10.0,10.0,4.0,23.0,0.0,0.0,,5.0,1.0,13.0,0.0
